new_date,actual_TEC,predicted_TEC,error
2011-10-10 06:00:00,30.32154614,31.790873,1.4693264338525402
2011-10-10 08:00:00,35.70778928,41.465775,5.757985256132812
2011-10-10 10:00:00,35.91300157,41.073772,5.160770860419923
2011-10-10 12:00:00,33.19981229,40.309395,7.109582546425784
2011-10-10 14:00:00,30.20314614,31.563038,1.359891732314452
2011-10-10 16:00:00,18.54836,23.120031,4.571671356811525
2011-10-10 18:00:00,11.20349072,17.675528,6.472036852631836
2011-10-10 20:00:00,11.78916,15.910156,4.120996249999999
2011-10-10 22:00:00,12.02364,16.199566,4.1759258874511715
2011-10-11 00:00:00,11.34194771,15.49966,4.1577118282690435
2011-10-11 02:00:00,10.59952157,14.785574,4.186052389350586
2011-10-11 04:00:00,18.48017386,23.061924,4.58175012071289
2011-10-11 06:00:00,29.07074614,30.192398,1.1216519312890618
2011-10-11 08:00:00,36.14909386,37.973125,1.8240315977636712
2011-10-11 10:00:00,37.59462614,45.323944,7.729317951796872
2011-10-11 12:00:00,33.45304,40.947132,7.494092110595702
2011-10-11 14:00:00,28.36185229,32.524544,4.16269147220703
2011-10-11 16:00:00,18.30191843,23.635857,5.333938198417968
2011-10-11 18:00:00,14.65841229,18.069923,3.411511110878907
2011-10-11 20:00:00,14.67298614,16.858046,2.185059438002929
2011-10-11 22:00:00,14.38346614,15.764256,1.3807893836816412
2011-10-12 00:00:00,13.47657386,15.852649,2.3760748750463865
2011-10-12 02:00:00,11.96398771,14.616967,2.6529794912329105
2011-10-12 04:00:00,19.75196157,23.604286,3.8523246238476574
2011-10-12 06:00:00,31.08546614,32.87144,1.7859747474511707
2011-10-12 08:00:00,37.9388,41.174427,3.2356270324707026
2011-10-12 10:00:00,42.40209386,44.033676,1.6315822874609367
2011-10-12 12:00:00,38.76888,44.496243,5.7273625231933565
2011-10-12 14:00:00,32.04342614,35.98334,3.9399150770410145
2011-10-12 16:00:00,19.39875843,25.195894,5.797135811333007
2011-10-12 18:00:00,13.6492,18.401312,4.752111874389648
2011-10-12 20:00:00,13.56410614,17.145367,3.581260528701172
2011-10-12 22:00:00,12.65968,15.9865265,3.3268464892578127
2011-10-13 00:00:00,13.01478771,15.930868,2.9160804388037107
