new_date,actual_TEC,predicted_TEC
2011-09-11 18:00:00,16.04104,16.960068
2011-09-11 20:00:00,12.13644,16.555855
2011-09-11 22:00:00,11.70906614,14.582098
2011-09-12 00:00:00,10.6938,13.653713
2011-09-12 02:00:00,9.94728,15.86603
2011-09-12 04:00:00,18.43169386,21.484413
2011-09-12 06:00:00,28.89902614,29.533047
2011-09-12 08:00:00,28.29850771,37.72349
2011-09-12 10:00:00,26.9422,32.326317
2011-09-12 12:00:00,25.31286614,29.238905
2011-09-12 14:00:00,23.15086614,26.082968
2011-09-12 16:00:00,21.75496,21.38548
2011-09-12 18:00:00,16.40282614,16.695095
2011-09-12 20:00:00,13.40162771,16.017303
2011-09-12 22:00:00,12.50268,15.328602
2011-09-13 00:00:00,11.09184,14.302683
2011-09-13 02:00:00,9.195427712,17.5958
2011-09-13 04:00:00,15.74825542,18.820024
2011-09-13 06:00:00,22.60826771,27.488369
2011-09-13 08:00:00,24.52838771,33.405308
2011-09-13 10:00:00,26.07933229,31.94571
2011-09-13 12:00:00,26.42106458,29.384737
2011-09-13 14:00:00,23.58335843,27.485655
2011-09-13 16:00:00,19.19379843,22.20228
2011-09-13 18:00:00,13.09593386,18.679195
2011-09-13 20:00:00,11.26805386,15.64516
2011-09-13 22:00:00,10.47889386,14.900582
2011-09-14 00:00:00,10.00105229,14.532554
2011-09-14 02:00:00,8.7,14.25231
2011-09-14 04:00:00,14.50997386,21.517057
2011-09-14 06:00:00,22.65950614,28.969017
2011-09-14 08:00:00,29.77056,34.618126
2011-09-14 10:00:00,29.26598614,37.878
2011-09-14 12:00:00,26.04114614,32.43223
2011-09-14 14:00:00,22.76950614,28.194792
2011-09-14 16:00:00,21.75884,23.145016
2011-09-14 18:00:00,14.77157229,18.976189
2011-09-14 20:00:00,13.12512157,15.514599
2011-09-14 22:00:00,12.58781386,16.225569
2011-09-15 00:00:00,11.68564,14.695141
2011-09-15 02:00:00,10.52969386,13.918434
2011-09-15 04:00:00,16.69082771,22.41932
2011-09-15 06:00:00,24.45282771,28.022106
2011-09-15 08:00:00,30.62526771,35.958862
2011-09-15 10:00:00,29.82102614,38.887085
2011-09-15 12:00:00,27.10293229,32.832455
2011-09-15 14:00:00,25.51482614,29.744007
2011-09-15 16:00:00,23.053,22.63332
2011-09-15 18:00:00,18.14637229,18.295752
2011-09-15 20:00:00,14.84890771,16.371937
2011-09-15 22:00:00,13.53890614,16.033884
2011-09-16 00:00:00,12.61921386,15.497064
2011-09-16 02:00:00,11.52596,14.165595
2011-09-16 04:00:00,18.88462771,21.94815
2011-09-16 06:00:00,27.06646614,31.468748
2011-09-16 08:00:00,32.05746771,36.13547
2011-09-16 10:00:00,31.57294614,38.104385
2011-09-16 12:00:00,29.36971843,34.900684
2011-09-16 14:00:00,26.10525229,29.13981
2011-09-16 16:00:00,22.39088157,22.67353
2011-09-16 18:00:00,17.70978614,20.132708
2011-09-16 20:00:00,14.92969386,16.235224
2011-09-16 22:00:00,13.09169386,15.828381
2011-09-17 00:00:00,12.91744,15.146003
2011-09-17 02:00:00,12.3066,15.289125
2011-09-17 04:00:00,19.29546771,24.795507
2011-09-17 06:00:00,28.05105386,31.529919
2011-09-17 08:00:00,35.51004157,36.56635
2011-09-17 10:00:00,38.40384,42.69773
2011-09-17 12:00:00,42.83552,42.376015
2011-09-17 14:00:00,44.51938458,39.061543
2011-09-17 16:00:00,26.04524915,35.302242
