new_date,time,actual_TEC,predicted_TEC
12-08-2013,12:00,44.16088118,47.960472
12-08-2013,14:00,34.04095804,39.524433
12-08-2013,16:00,24.31386118,25.267168
12-08-2013,18:00,18.55246118,21.59427
12-08-2013,20:00,14.54428078,19.079947
12-08-2013,22:00,14.36974,17.304787
13-08-2013,00:00,12.26050078,14.133093
13-08-2013,02:00,17.38258039,19.63407
13-08-2013,04:00,25.36446039,25.330984
13-08-2013,06:00,34.04104196,33.275723
13-08-2013,08:00,44.08236196,45.045048
13-08-2013,10:00,47.72768157,54.167294
13-08-2013,12:00,43.15526196,50.322018
13-08-2013,14:00,36.06778274,39.44321
13-08-2013,16:00,26.32083961,25.892689
13-08-2013,18:00,14.52446078,21.443449
13-08-2013,20:00,13.02844039,18.563826
13-08-2013,22:00,13.61196,16.894995
14-08-2013,00:00,11.93442039,14.25927
14-08-2013,02:00,17.36928118,17.239202
14-08-2013,04:00,29.26478118,25.304922
14-08-2013,06:00,40.71690196,36.547558
14-08-2013,08:00,51.64850235,48.8797
14-08-2013,10:00,50.36918235,56.000916
14-08-2013,12:00,39.94846078,45.028435
14-08-2013,14:00,32.36908157,31.932896
14-08-2013,16:00,25.32289922,23.376965
14-08-2013,18:00,16.85886118,21.706118
14-08-2013,20:00,14.68650078,17.95073
14-08-2013,22:00,13.8659,15.022532
15-08-2013,00:00,11.00569961,15.501335
15-08-2013,02:00,17.69878039,18.7864
15-08-2013,04:00,26.50082118,26.932758
15-08-2013,06:00,36.11522196,35.804516
15-08-2013,08:00,45.28902353,49.70864
15-08-2013,10:00,47.5310047,50.698727
15-08-2013,12:00,48.48686078,47.777493
15-08-2013,14:00,39.38290118,40.973175
15-08-2013,16:00,25.06991882,25.183699
15-08-2013,18:00,17.68820078,20.799732
15-08-2013,20:00,18.22542039,18.948967
15-08-2013,22:00,13.49703882,16.862642
16-08-2013,00:00,10.3642,14.874545
16-08-2013,02:00,19.05774235,16.178875
16-08-2013,04:00,25.84070118,24.79461
16-08-2013,06:00,38.46114235,34.555466
16-08-2013,08:00,43.92426274,46.439995
16-08-2013,10:00,43.47284118,53.418873
16-08-2013,12:00,39.30922196,48.255417
16-08-2013,14:00,37.79815961,36.436604
16-08-2013,16:00,26.35816078,24.787546
16-08-2013,18:00,21.76490157,22.634932
16-08-2013,20:00,19.68032078,19.531944
16-08-2013,22:00,16.71353922,17.566362
17-08-2013,00:00,13.65048078,14.770316
17-08-2013,02:00,17.38072078,17.550213
17-08-2013,04:00,25.27616039,24.591259
17-08-2013,06:00,36.03296235,36.436356
17-08-2013,08:00,47.38956196,46.66406
17-08-2013,10:00,50.36924274,53.3081
17-08-2013,12:00,42.88516235,49.761826
17-08-2013,14:00,42.60406078,39.33406
17-08-2013,16:00,27.23653922,28.081608
17-08-2013,18:00,18.72700196,24.042755
17-08-2013,20:00,16.60802078,19.1368
17-08-2013,22:00,15.09353961,17.036432
18-08-2013,00:00,12.60377961,14.225639
18-08-2013,02:00,18.87888,16.28309
18-08-2013,04:00,25.76844,26.346115
18-08-2013,06:00,34.77514196,32.98385
18-08-2013,08:00,44.09002196,45.991837
18-08-2013,10:00,43.86758157,51.920177
18-08-2013,12:00,40.51406274,46.444565
18-08-2013,14:00,38.52446,40.24454
18-08-2013,16:00,26.39924274,25.532408
18-08-2013,18:00,33.94163843,21.940586
18-08-2013,20:00,18.27642039,22.51485
18-08-2013,22:00,16.62383961,18.884151
19-08-2013,00:00,13.61680078,15.895945
19-08-2013,02:00,20.15114118,16.483244
19-08-2013,04:00,30.35910157,23.533468
19-08-2013,06:00,40.72108274,35.2671
19-08-2013,08:00,54.38430235,49.92663
19-08-2013,10:00,57.47502157,55.418995
19-08-2013,12:00,45.06134274,48.373943
19-08-2013,14:00,39.73757961,36.101345
19-08-2013,16:00,26.45188157,27.1988
19-08-2013,18:00,19.48016118,20.085474
19-08-2013,20:00,17.85814078,19.776493
19-08-2013,22:00,15.73115882,16.89119
20-08-2013,00:00,12.69,14.398384
20-08-2013,02:00,18.50880039,16.354128
20-08-2013,04:00,27.96542235,23.508486
20-08-2013,06:00,42.21296274,36.50063
20-08-2013,08:00,55.99782157,50.957508
20-08-2013,10:00,55.56002235,53.845306
20-08-2013,12:00,50.77778274,50.144962
20-08-2013,14:00,49.06512235,37.300365
20-08-2013,16:00,34.05023961,29.685127
20-08-2013,18:00,20.22402078,22.664722
20-08-2013,20:00,16.99660118,18.654388
20-08-2013,22:00,15.70357961,18.546116
21-08-2013,00:00,13.46214039,15.049518
21-08-2013,02:00,20.19714078,14.3248415
21-08-2013,04:00,28.89514157,22.616327
21-08-2013,06:00,42.23472274,35.02176
21-08-2013,08:00,54.37224274,51.51393
21-08-2013,10:00,58.04174274,55.99426
21-08-2013,12:00,54.22284196,53.656265
21-08-2013,14:00,50.83074196,40.794098
21-08-2013,16:00,35.18627961,27.04216
21-08-2013,18:00,22.37424157,22.014078
21-08-2013,20:00,18.79208118,19.076078
21-08-2013,22:00,16.99552,18.791918
22-08-2013,00:00,12.92986,15.385304
22-08-2013,02:00,18.78058,15.046154
22-08-2013,04:00,27.66868157,20.867495
22-08-2013,06:00,41.06066235,31.791897
22-08-2013,08:00,48.84844314,46.534832
22-08-2013,10:00,50.80002431,54.086914
22-08-2013,12:00,44.32280157,49.01381
22-08-2013,14:00,37.67749843,40.43067
22-08-2013,16:00,24.92475882,28.539968
22-08-2013,18:00,20.31373922,21.92716
22-08-2013,20:00,19.51408,19.045748
22-08-2013,22:00,16.21543922,16.60955
23-08-2013,00:00,13.71543922,14.904306
23-08-2013,02:00,19.2166,17.143768
23-08-2013,04:00,26.76052118,26.043848
23-08-2013,06:00,38.48936314,36.47039
23-08-2013,08:00,62.41400274,46.143692
23-08-2013,10:00,66.47144314,60.581936
23-08-2013,12:00,61.74808235,57.9791
23-08-2013,14:00,51.16061843,40.531498
23-08-2013,16:00,30.16082039,28.118523
23-08-2013,18:00,22.41717961,19.775621
23-08-2013,20:00,19.54404078,18.371431
23-08-2013,22:00,17.07287843,17.400572
24-08-2013,00:00,14.55169922,15.253273
24-08-2013,02:00,19.72096039,14.911048
24-08-2013,04:00,30.11262039,19.177612
24-08-2013,06:00,40.67732235,33.50405
24-08-2013,08:00,53.07308392,49.932083
24-08-2013,10:00,57.47380314,53.934258
24-08-2013,12:00,53.02188353,51.011917
24-08-2013,14:00,46.44398078,41.155724
24-08-2013,16:00,29.82480039,27.288273
24-08-2013,18:00,20.75352,21.59257
24-08-2013,20:00,19.00390039,18.389803
24-08-2013,22:00,17.41295843,20.02052
25-08-2013,00:00,14.58971961,15.130037
25-08-2013,02:00,20.16494078,15.065217
25-08-2013,04:00,27.23502157,24.119186
25-08-2013,06:00,37.16350392,33.55539
25-08-2013,08:00,54.13582196,46.981438
25-08-2013,10:00,61.17364235,55.48915
25-08-2013,12:00,58.47412274,54.40318
25-08-2013,14:00,42.68015804,43.99438
25-08-2013,16:00,23.68308078,27.344036
25-08-2013,18:00,15.98990078,20.746862
25-08-2013,20:00,14.13020078,18.187449
25-08-2013,22:00,13.18004039,16.874228
26-08-2013,00:00,12.86406039,14.306472
26-08-2013,02:00,18.29252,16.365788
26-08-2013,04:00,24.75698157,23.394428
26-08-2013,06:00,34.13302274,32.959705
26-08-2013,08:00,45.85202314,44.39537
26-08-2013,10:00,52.98374431,49.00319
26-08-2013,12:00,50.99928157,48.687477
26-08-2013,14:00,44.27489961,37.52795
26-08-2013,16:00,25.97588235,26.584955
26-08-2013,18:00,17.06332,22.126099
26-08-2013,20:00,15.11224039,18.24652
26-08-2013,22:00,13.63519882,17.64359
27-08-2013,00:00,11.62191961,14.434755
27-08-2013,02:00,17.81882039,14.464438
27-08-2013,04:00,25.76734235,23.362537
27-08-2013,06:00,36.84702235,33.059628
27-08-2013,08:00,51.573,49.77125
27-08-2013,10:00,51.18398314,54.982918
27-08-2013,12:00,46.76958118,50.31307
27-08-2013,14:00,38.98564,39.16461
27-08-2013,16:00,20.69490235,24.407661
27-08-2013,18:00,14.34676157,20.830908
27-08-2013,20:00,13.19248078,17.453924
27-08-2013,22:00,11.35418,16.264727
28-08-2013,00:00,10.22824039,14.161604
28-08-2013,02:00,15.08712078,17.033747
28-08-2013,04:00,32.03548196,23.458525
28-08-2013,06:00,44.70602078,39.56442
28-08-2013,08:00,53.35394314,52.35461
28-08-2013,10:00,49.70146431,54.56414
28-08-2013,12:00,40.34324039,46.68553
28-08-2013,14:00,34.16369882,30.417826
28-08-2013,16:00,21.07128039,23.14923
28-08-2013,18:00,13.28755961,19.52692
28-08-2013,20:00,11.93610039,18.065126
28-08-2013,22:00,11.07961922,14.687139
29-08-2013,00:00,9.617859608,15.050157
29-08-2013,02:00,15.32698078,18.58573
29-08-2013,04:00,23.66416,27.29066
29-08-2013,06:00,29.40520196,35.816517
