new_date,time,actual_TEC,predicted_TEC,error
12-09-2013,04:00,20.15258078,26.660063,-6.50748201
12-09-2013,06:00,30.44526314,34.23582,-3.79055763
12-09-2013,08:00,45.59008235,45.367752,0.222330275
12-09-2013,10:00,51.47516235,55.30407,-3.828907169
12-09-2013,12:00,42.98148078,53.899197,-10.91771584
12-09-2013,14:00,32.14090118,39.203358,-7.062456517
12-09-2013,16:00,20.15924118,23.913782,-3.75454094
12-09-2013,18:00,13.58634118,20.076677,-6.490336142
12-09-2013,20:00,11.78194039,18.783024,-7.001083444
12-09-2013,22:00,11.38365922,16.147757,-4.764097357
13-09-2013,00:00,9.368380784,13.294088,-3.92570758
13-09-2013,02:00,14.65848039,16.814093,-2.155612246
13-09-2013,04:00,22.33999961,24.737558,-2.397558755
13-09-2013,06:00,32.14868196,34.313263,-2.164580979
13-09-2013,08:00,41.70004196,47.055565,-5.35552292
13-09-2013,10:00,44.64614353,54.499847,-9.853703882
13-09-2013,12:00,45.79616196,47.534737,-1.738574673
13-09-2013,14:00,34.26187922,40.239243,-5.977363334
13-09-2013,16:00,19.48706039,24.545858,-5.058797993
13-09-2013,18:00,13.86616039,20.13481,-6.268649104
13-09-2013,20:00,13.57974,18.31146,-4.731720495
13-09-2013,22:00,12.64577961,16.969578,-4.323798179
14-09-2013,00:00,9.3981,13.737566,-4.339465994
